# Project GenCode Backend - Function Analysis

Total Functions: 795

## Module: `agents\sub_agents.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 22 | `encrypt_secret` | Encrypts a plaintext secret using AES-256-GCM. | 0 | - |
| 59 | `decrypt_secret` | Decrypts an AES-256-GCM encrypted secret. | 0 | - |
| 92 | `fetch_vault_secret` | Fetches a single secret from Vault using its v1 kv API. | 1 | lib\secrets.py |
| 116 | `load_secrets_from_vault` | Load a mapping of env names to Vault secret paths | 0 | - |

## Module: `lib\websocket.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 15 | `ConnectionManager.__init__` | No description available | 0 | - |
| 21 | `ConnectionManager.connect` | No description available | 1 | main.py |
| 28 | `ConnectionManager.disconnect` | Thread-safe disconnect. | 2 | lib\websocket.py, main.py |
| 37 | `ConnectionManager.send_json` | No description available | 3 | lib\websocket.py, orchestration\utils.py |
| 40 | `ConnectionManager.send_to_project` | Send a JSON message to all clients connected for a given project_id. | 3 | lib\websocket.py, orchestration\utils.py |
| 62 | `ConnectionManager.broadcast_json` | Broadcast a JSON message to all connected websockets across all projects. | 0 | - |
| 70 | `ConnectionManager.broadcast` | Convenience / backwards-compatible alias: broadcast to a single project. | 1 | orchestration\utils.py |

## Module: `llm\adapter.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 60 | `get_stop_sequences` | Get appropriate stop sequences for a file type. | 1 | llm\adapter.py |
| 65 | `get_stop_sequences_for_step` | Get appropriate stop sequences based on workflow step. | 1 | llm\adapter.py |
| 108 | `LLMAdapter.__init__` | No description available | 0 | - |
| 113 | `LLMAdapter.call` | Call an LLM provider with automatic retry. | 2 | llm\adapter.py |
| 174 | `LLMAdapter._call_provider` | Call a specific provider with retry logic. | 1 | llm\adapter.py |
| 242 | `call_llm` | Convenience function for calling LLM with V2 stop sequences support. | 0 | - |
| 266 | `call_llm_with_usage` | V3: Call LLM and return BOTH text and usage metadata. | 0 | - |

## Module: `llm\prompt_management.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 112 | `build_context` | Build minimal dynamic context for agent calls. | 1 | agents\sub_agents.py |
| 313 | `filter_files_for_step` | Filter files to only those relevant for the current step. | 1 | supervision\supervisor.py |
| 410 | `get_file_summary` | Generate or retrieve 500-char summary of a file. | 1 | llm\prompt_management.py |
| 438 | `build_file_context` | Build file context - use summaries when possible. | 1 | llm\prompt_management.py |
| 479 | `should_auto_approve` | Check if file should be auto-approved (skip Marcus review). | 0 | - |

## Module: `llm\providers\anthropic.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 14 | `call` | Call Anthropic Claude API. | 0 | - |

## Module: `llm\providers\gemini.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 14 | `call` | Call Google Gemini API. | 0 | - |

## Module: `llm\providers\ollama.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 13 | `call` | Call Ollama API (local). | 0 | - |

## Module: `llm\providers\openai.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 14 | `call` | Call OpenAI API. | 0 | - |

## Module: `main.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 64 | `lifespan` | Application startup and shutdown. | 0 | - |
| 145 | `websocket_endpoint` | No description available | 0 | - |
| 202 | `serve_spa` | No description available | 0 | - |

## Module: `orchestration\artifact_contracts.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 31 | `ArtifactContractsRegistry.__init__` | No description available | 0 | - |
| 37 | `ArtifactContractsRegistry.register` | No description available | 9 | orchestration\artifact_contracts.py |
| 43 | `ArtifactContractsRegistry.validate` | file_reader(path) -> returns file contents or None | 6 | orchestration\critical_step_barriers.py, orchestration\self_healing_manager.py (+1 more) |
| 71 | `ArtifactContractsRegistry.get_failures` | Get detailed failure information for each contract. | 1 | orchestration\critical_step_barriers.py |
| 99 | `default_contracts` | Creates default contracts with flexible patterns. | 0 | - |
| 157 | `dynamic_contracts` | Creates contracts based on actual files discovered in the workspace. | 0 | - |

## Module: `orchestration\artifact_types.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 67 | `get_artifact_display_name` | Get human-readable display name for an artifact. | 0 | - |

## Module: `orchestration\backend_probe.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 29 | `BackendProbe.check_route` | Test if a route returns the expected status code. | 2 | orchestration\backend_probe.py |
| 51 | `BackendProbe.is_healthy` | Check if backend is healthy via /api/health. | 0 | - |
| 56 | `BackendProbe.from_env` | Factory method to create probe based on environment. | 0 | - |
| 69 | `HTTPBackendProbe.__init__` | Initialize HTTP probe. | 0 | - |
| 85 | `HTTPBackendProbe._get_base_url` | Get the backend base URL dynamically (port detection for Docker). | 2 | orchestration\backend_probe.py |
| 112 | `HTTPBackendProbe.check_route_detailed` | Test route via HTTP request and return detailed status. | 1 | orchestration\backend_probe.py |
| 171 | `HTTPBackendProbe.check_route` | Wrapper for backward compatibility. | 2 | orchestration\backend_probe.py |
| 182 | `HTTPBackendProbe.is_healthy` | Check health endpoint. | 0 | - |
| 186 | `HTTPBackendProbe.validate_all_contract_routes` | PHASE 4: Validate ALL routes from contracts.md. | 1 | orchestration\self_healing_manager.py |
| 282 | `ASGIBackendProbe.__init__` | Initialize ASGI probe. | 0 | - |
| 292 | `ASGIBackendProbe._get_app` | Lazy-load FastAPI app. | 1 | orchestration\backend_probe.py |
| 304 | `ASGIBackendProbe.check_route` | Test route via ASGI transport. | 2 | orchestration\backend_probe.py |
| 335 | `ASGIBackendProbe.is_healthy` | Check health endpoint. | 0 | - |

## Module: `orchestration\budget_manager.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 157 | `BudgetManager.__init__` | No description available | 0 | - |
| 168 | `BudgetManager._reset_run_state` | Reset state for a new run. | 2 | orchestration\budget_manager.py |
| 176 | `BudgetManager.start_run` | Reset budget usage for a new FAST run. | 1 | orchestration\fast_orchestrator.py |
| 186 | `BudgetManager.max_usd` | Maximum budget in USD. | 0 | - |
| 190 | `BudgetManager._estimate_cost_usd` | Estimate cost in USD for given token counts. | 2 | orchestration\budget_manager.py |
| 197 | `BudgetManager._remaining_usd` | Remaining budget in USD. | 5 | orchestration\budget_manager.py |
| 202 | `BudgetManager.remaining_inr` | Remaining budget in INR. | 0 | - |
| 207 | `BudgetManager.used_inr` | Used budget in INR. | 0 | - |
| 214 | `BudgetManager.get_step_policy` | Get policy for a step (with sensible defaults). | 3 | orchestration\budget_manager.py, orchestration\fast_orchestrator.py |
| 221 | `BudgetManager.allowed_attempts_for_step` | Decide how many attempts this step is allowed, given the remaining budget. | 2 | orchestration\budget_manager.py, orchestration\fast_orchestrator.py |
| 260 | `BudgetManager.can_afford_step` | Quick check if we can afford at least one attempt of this step. | 0 | - |
| 267 | `BudgetManager.register_usage` | Call this after each ACTUAL Gemini call, | 1 | orchestration\fast_orchestrator.py |
| 310 | `BudgetManager.get_budget_status` | Return human-readable budget status emoji. | 1 | orchestration\budget_manager.py |
| 323 | `BudgetManager.get_usage_summary` | Get complete usage summary for logging/debugging. | 6 | api\tracking.py, orchestration\budget_manager.py (+1 more) |
| 340 | `BudgetManager.log_status` | Print current budget status to console. | 5 | orchestration\fast_orchestrator.py |
| 359 | `get_budget_manager` | Get or create a BudgetManager instance. | 1 | api\tracking.py |
| 380 | `reset_budget_manager` | Reset a BudgetManager instance. | 0 | - |
| 393 | `get_all_project_budgets` | Get all tracked project budgets. | 1 | api\tracking.py |
| 399 | `get_budget_for_api` | Get budget data formatted for the frontend CostDashboard API. | 1 | api\tracking.py |

## Module: `orchestration\checkpoint.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 23 | `CheckpointManagerV2.__init__` | No description available | 0 | - |
| 27 | `CheckpointManagerV2.save_project_snapshot` | Capture the entire project state from disk. | 2 | supervision\supervisor.py |
| 34 | `CheckpointManagerV2._save_project_snapshot_sync` | Sync implementation of project capture. | 0 | - |
| 52 | `CheckpointManagerV2.save` | Save a checkpoint for a step using provided file content. | 18 | api\deployment.py, handlers\contracts.py (+3 more) |
| 79 | `CheckpointManagerV2.get_latest` | Get the latest checkpoint for a step. | 0 | - |
| 117 | `CheckpointManagerV2.list_checkpoints` | List all checkpoints, optionally filtered by step. | 0 | - |

## Module: `orchestration\context.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 75 | `get_relevant_files` | Get only the files relevant to the current step. | 0 | - |
| 140 | `get_entity_context` | Get entity-specific context for agents. | 0 | - |
| 204 | `get_previous_files_summary` | Get a brief summary of what files exist in the project. | 0 | - |
| 254 | `CrossStepContext.__init__` | No description available | 0 | - |
| 265 | `CrossStepContext._ctx` | No description available | 0 | - |
| 268 | `CrossStepContext.record_step_completion` | Record that a step completed with optional summary data. | 1 | orchestration\fast_orchestrator.py |
| 275 | `CrossStepContext.set_entities` | Set the primary entities from analysis step. | 1 | orchestration\fast_orchestrator.py |
| 279 | `CrossStepContext.set_architecture` | Set architecture summary from architecture step. | 1 | orchestration\fast_orchestrator.py |
| 283 | `CrossStepContext.get_summary_for_step` | Get a context summary tailored for the current step. | 0 | - |
| 318 | `CrossStepContext.get_completed_steps` | Get list of completed steps. | 0 | - |
| 322 | `CrossStepContext.reset` | Reset context for a new workflow run. | 2 | orchestration\fast_orchestrator.py, utils\parser.py |
| 332 | `CrossStepContext.get_or_create` | Factory method to get or create context for a project. | 1 | orchestration\fast_orchestrator.py |

## Module: `orchestration\contract_expansion.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 14 | `ContractExpansionManager.__init__` | No description available | 0 | - |
| 19 | `ContractExpansionManager.create_backup` | Create a backup of the current contracts.md content. | 0 | - |
| 25 | `ContractExpansionManager.rollback_contract` | Rollback contracts.md to the backup content. | 0 | - |
| 30 | `ContractExpansionManager.detect_unknown_endpoint` | Detect if failure is due to unknown endpoint (404 on unknown path). | 0 | - |
| 123 | `ContractExpansionManager.expand_contract` | Expand contracts.md with the new delta. | 0 | - |
| 153 | `ContractExpansionManager._validate_expansion` | Validate safeguards. | 1 | orchestration\contract_expansion.py |
| 175 | `ContractExpansionManager.regenerate_backend_for_new_entity` | Regenerate backend components for the new entity. | 0 | - |

## Module: `orchestration\contract_parser.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 28 | `ContractParser.__init__` | Initialize contract parser. | 0 | - |
| 39 | `ContractParser.get_expected_routes` | Extract expected routes for validation. | 2 | orchestration\backend_probe.py, orchestration\contract_parser.py |
| 145 | `ContractParser._parse_contracts_md` | Parse route contracts from contracts.md. | 2 | orchestration\contract_expansion.py |
| 178 | `ContractParser._parse_test_file` | Parse expected routes from test_contract_api.py. | 0 | - |
| 220 | `ContractParser.get_primary_entity_routes` | Get routes for the primary entity only. | 0 | - |

## Module: `orchestration\critical_step_barriers.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 20 | `CriticalStepBarriers.__init__` | No description available | 0 | - |
| 27 | `CriticalStepBarriers.enforce` | Returns True if allowed to continue. | 0 | - |
| 61 | `CriticalStepBarriers.check_artifact` | Check if a specific artifact passes validation. | 0 | - |
| 69 | `CriticalStepBarriers.get_all_failures` | Get detailed failure information for all artifacts. | 0 | - |

## Module: `orchestration\error_router.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 58 | `ErrorRouter.get_repair_artifact` | Get the artifact name to repair for a failed step. | 2 | orchestration\error_router.py, orchestration\healing_pipeline.py |
| 62 | `ErrorRouter.is_repairable` | Check if a step can be repaired. | 2 | orchestration\healing_pipeline.py |
| 66 | `ErrorRouter.get_repair_priority` | Get repair priority (lower = higher priority). | 1 | orchestration\error_router.py |
| 71 | `ErrorRouter.get_repair_order` | Sort failed steps by repair priority. | 1 | orchestration\healing_pipeline.py |
| 75 | `ErrorRouter.decide_repair_strategy` | LOOP CONSOLIDATION: Select strategy based on ERROR DEPTH, not retry count. | 2 | orchestration\healing_pipeline.py, supervision\supervisor.py |
| 142 | `ErrorRouter._analyze_error_depth` | Analyze error to determine depth level. | 1 | orchestration\error_router.py |
| 202 | `ErrorRouter._standard_route` | Standard attention-based routing. | 5 | orchestration\error_router.py |
| 233 | `ErrorRouter._exploratory_route` | E-AM: Inject foreign patterns from other archetypes. | 1 | orchestration\error_router.py |
| 264 | `ErrorRouter._transformational_route` | T-AM: Mutate constraints when fundamentally stuck. | 1 | orchestration\error_router.py |
| 285 | `ErrorRouter._select_mutation_operator` | Select T-AM mutation operator based on error analysis. | 1 | orchestration\error_router.py |
| 311 | `ErrorRouter._build_mutation` | Build the mutation based on operator and context. | 1 | orchestration\error_router.py |
| 358 | `ErrorRouter._merge_values` | Merge base strategy values with foreign pattern values. | 1 | orchestration\error_router.py |
| 372 | `ErrorRouter._get_repair_strategies` | Get the standard repair strategies. | 1 | orchestration\error_router.py |
| 432 | `ErrorRouter.report_repair_outcome` | Report the outcome of a repair strategy decision. | 1 | orchestration\healing_pipeline.py |
| 465 | `ErrorRouter.get_last_decision_id` | Get the decision_id from the last repair strategy decision. | 0 | - |
| 469 | `ErrorRouter.get_last_mode` | Get the AM mode used in the last decision. | 0 | - |

## Module: `orchestration\failure_classifier.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 66 | `FailureClassifier.classify` | Classify error with strict rules. | 3 | core\failure_boundary.py |
| 105 | `FailureClassifier._could_reasoning_fix` | Ultimate test: Could regenerating code fix this? | 1 | orchestration\failure_classifier.py |

## Module: `orchestration\fallback_api_agent.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 27 | `FallbackAPIAgent.__init__` | Initialize the fallback API agent. | 0 | - |
| 36 | `FallbackAPIAgent.generate` | Generate API client code for the specified entity. | 0 | - |
| 61 | `FallbackAPIAgent.generate_for_entity` | Generate an API client for a specific entity. | 6 | orchestration\fallback_api_agent.py, orchestration\fallback_model_agent.py (+3 more) |

## Module: `orchestration\fallback_model_agent.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 25 | `FallbackModelAgent.__init__` | Initialize the fallback model agent. | 0 | - |
| 29 | `FallbackModelAgent.generate` | Generate model code for the specified entity. | 0 | - |
| 50 | `FallbackModelAgent.generate_for_entity` | Generate a Beanie Document model for a specific entity. | 6 | orchestration\fallback_api_agent.py, orchestration\fallback_model_agent.py (+3 more) |

## Module: `orchestration\fallback_router_agent.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 27 | `FallbackRouterAgent.__init__` | Initialize the fallback router agent. | 0 | - |
| 36 | `FallbackRouterAgent.generate` | Generate router code for the specified entity. | 0 | - |
| 61 | `FallbackRouterAgent.generate_for_entity` | Generate a CRUD router for a specific entity. | 6 | orchestration\fallback_api_agent.py, orchestration\fallback_model_agent.py (+3 more) |

## Module: `orchestration\fast_orchestrator.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 81 | `FASTOrchestratorV2.__init__` | Initialize FAST V2 orchestrator. | 0 | - |
| 156 | `FASTOrchestratorV2.run` | Execute the FAST V2 workflow. | 7 | api\workspace.py, orchestration\fast_orchestrator.py (+1 more) |
| 763 | `FASTOrchestratorV2._validate_critical_files` | Validate critical files exist before running testing/preview steps. | 1 | orchestration\fast_orchestrator.py |
| 821 | `FASTOrchestratorV2._validate_step_output` | Validate the output of a critical step. | 1 | orchestration\fast_orchestrator.py |
| 912 | `FASTOrchestratorV2._attempt_healing` | Attempt to heal a failed step using the healing pipeline. | 2 | orchestration\fast_orchestrator.py |
| 930 | `FASTOrchestratorV2._save_checkpoint` | Save a checkpoint after successful step completion. | 1 | orchestration\fast_orchestrator.py |
| 970 | `FASTOrchestratorV2._record_step_context` | V2 Feature: Record step completion to cross-step context. | 1 | orchestration\fast_orchestrator.py |
| 1044 | `run_fast_v2_workflow` | Convenience function to run FAST V2 workflow. | 0 | - |

## Module: `orchestration\file_persistence.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 21 | `FilePersistence.__init__` | No description available | 0 | - |
| 24 | `FilePersistence.write` | Atomically write text to a file. | 5 | orchestration\checkpoint.py, orchestration\contract_expansion.py (+3 more) |
| 59 | `FilePersistence.read` | Read a file and return its contents, or None if not found. | 2 | orchestration\file_persistence.py, persistence\filesystem.py |
| 73 | `FilePersistence.exists` | Check if a file exists. | 155 | api\projects.py, api\sandbox.py (+40 more) |
| 78 | `FilePersistence.delete` | Delete a file if it exists. | 4 | api\projects.py, orchestration\backend_probe.py |
| 92 | `FilePersistence.set_base_path` | Set the base path for all operations. | 0 | - |
| 96 | `FilePersistence.ensure_dir` | Ensure a directory exists. | 0 | - |

## Module: `orchestration\heal_helpers.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 21 | `has_query_annotations` | Check if router code properly uses FastAPI Query() annotations. | 1 | orchestration\heal_helpers.py |
| 41 | `has_pagination_params` | Check if router code includes expected pagination parameters. | 1 | orchestration\heal_helpers.py |
| 58 | `has_proper_imports` | Validate that router has essential FastAPI imports. | 1 | orchestration\heal_helpers.py |
| 80 | `has_router_variable` | Check that router code defines the router variable. | 1 | orchestration\heal_helpers.py |
| 93 | `has_optional_list_params` | ═══════════════════════════════════════════════════════════════════ | 2 | orchestration\heal_helpers.py, persistence\writer.py |
| 177 | `validate_router_code` | Comprehensive validation of LLM-generated router code. | 1 | orchestration\heal_helpers.py |
| 223 | `validate_router_file` | Validate a router file on disk. | 2 | orchestration\self_healing_manager.py |

## Module: `orchestration\healing_budget.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 57 | `HealingBudget.reset` | Reset budget for a new test run. | 2 | orchestration\fast_orchestrator.py, utils\parser.py |
| 72 | `HealingBudget.llm_calls_remaining` | No description available | 0 | - |
| 77 | `HealingBudget.critical_regens_remaining` | No description available | 0 | - |
| 82 | `HealingBudget.docker_restarts_remaining` | No description available | 0 | - |
| 86 | `HealingBudget.can_call_llm` | No description available | 1 | supervision\supervisor.py |
| 89 | `HealingBudget.can_regen_critical` | No description available | 1 | orchestration\self_healing_manager.py |
| 92 | `HealingBudget.can_restart_docker` | No description available | 0 | - |
| 95 | `HealingBudget.is_exhausted` | Budget is exhausted when: | 2 | orchestration\healing_budget.py, orchestration\healing_pipeline.py |
| 111 | `HealingBudget.use_llm_call` | No description available | 1 | supervision\supervisor.py |
| 132 | `HealingBudget.use_critical_regen` | No description available | 1 | orchestration\self_healing_manager.py |
| 152 | `HealingBudget.use_docker_restart` | No description available | 0 | - |
| 176 | `HealingBudget.get_status` | No description available | 3 | orchestration\healing_budget.py, tools\implementations.py |
| 199 | `HealingBudget.get_exhaustion_diagnostic` | No description available | 1 | orchestration\healing_pipeline.py |
| 238 | `get_healing_budget` | Get or create a healing budget for a project. | 3 | orchestration\healing_pipeline.py, orchestration\self_healing_manager.py (+1 more) |
| 248 | `reset_healing_budget` | Reset healing budget at the start of testing_backend. | 1 | handlers\testing_backend.py |
| 258 | `clear_healing_budget` | Remove healing budget after workflow completion. | 0 | - |
| 264 | `get_all_budgets` | Return a snapshot of all active budgets. | 0 | - |

## Module: `orchestration\healing_pipeline.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 35 | `HealingPipeline.__init__` | No description available | 0 | - |
| 56 | `HealingPipeline.attempt_heal` | Attempt to heal failed step. Returns SELF_HEALED or generated code. | 2 | orchestration\fast_orchestrator.py, orchestration\healing_pipeline.py |
| 184 | `HealingPipeline._fallback` | PHASE 3: Selective fallback - ONLY for boilerplate files. | 1 | orchestration\healing_pipeline.py |
| 243 | `HealingPipeline._is_critical_step` | PHASE 3: Check if step involves critical files. | 2 | orchestration\healing_pipeline.py |
| 260 | `HealingPipeline._is_boilerplate_step` | PHASE 3: Check if step involves boilerplate files. | 1 | orchestration\healing_pipeline.py |
| 280 | `HealingPipeline._generate_fallback_tests` | Generate fallback test_api.py to prevent 'no tests ran'. | 0 | - |
| 350 | `HealingPipeline._maybe_mutate_config_after_failures` | T-AM: Mutate strategy config after repeated failures. | 0 | - |
| 365 | `HealingPipeline._report_healing_outcome` | Report outcome for self-evolution. | 3 | orchestration\healing_pipeline.py |
| 383 | `HealingPipeline.can_heal` | Check if a step can be healed. | 0 | - |
| 387 | `HealingPipeline.get_healing_options` | Get available healing options for a step. | 0 | - |
| 395 | `HealingPipeline.heal_all` | Heal all failed steps in priority order. | 0 | - |
| 411 | `HealingPipeline._record_healing_attempt` | PHASE 5: Record a healing attempt in memory. | 3 | orchestration\healing_pipeline.py |
| 452 | `HealingPipeline._is_duplicate_code` | PHASE 5: Check if code is identical to a previous attempt. | 1 | orchestration\healing_pipeline.py |
| 463 | `HealingPipeline.get_healing_summary` | PHASE 5: Get summary of healing attempts. | 0 | - |
| 492 | `HealingPipeline._load_healing_memory` | Load healing memory from JSON file (persistent across runs). | 1 | orchestration\healing_pipeline.py |
| 515 | `HealingPipeline._save_healing_memory` | Save healing memory to JSON file (persistent across runs). | 2 | orchestration\healing_pipeline.py |
| 534 | `HealingPipeline.clear_healing_memory` | Clear healing memory (call after successful workflow completion). | 0 | - |

## Module: `orchestration\healing_policy.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 58 | `HealingPolicy.__init__` | Initialize healing policy. | 0 | - |
| 72 | `HealingPolicy.classify_error` | Classify the type of error based on context. | 0 | - |
| 129 | `HealingPolicy.get_healing_actions` | Determine healing actions based on error type. | 0 | - |
| 274 | `HealingPolicy.record_repair` | Record that a repair was attempted. | 0 | - |
| 287 | `HealingPolicy.should_stop_healing` | Check if we should stop healing to avoid infinite loops. | 0 | - |
| 302 | `HealingPolicy.reset` | Reset repair history (e.g., for new workflow run). | 2 | orchestration\fast_orchestrator.py, utils\parser.py |

## Module: `orchestration\isolation.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 60 | `IsolationManager.__init__` | No description available | 0 | - |
| 71 | `IsolationManager.isolate_step` | Quarantine a step and its outputs. | 1 | orchestration\fast_orchestrator.py |
| 145 | `IsolationManager.is_isolated` | Check if a step has been isolated. | 0 | - |
| 149 | `IsolationManager.get_isolated_steps` | Get list of all isolated steps. | 0 | - |
| 153 | `IsolationManager.can_use_artifact` | Check if an artifact is safe to use. | 0 | - |
| 188 | `IsolationManager.depends_on_step` | Check if a step can depend on another step. | 0 | - |
| 210 | `IsolationManager.get_quarantine_report` | Generate a quarantine report for debugging/logging. | 0 | - |
| 227 | `IsolationManager.clear` | Clear all isolation data (for testing or workflow restart). | 9 | orchestration\healing_budget.py, orchestration\healing_policy.py (+3 more) |

## Module: `orchestration\llm_output_integrity.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 23 | `LLMOutputIntegrity.__init__` | No description available | 0 | - |
| 29 | `LLMOutputIntegrity.validate` | No description available | 6 | orchestration\critical_step_barriers.py, orchestration\self_healing_manager.py (+1 more) |
| 50 | `LLMOutputIntegrity._looks_truncated` | No description available | 2 | orchestration\llm_output_integrity.py |
| 65 | `LLMOutputIntegrity._balanced_brackets` | No description available | 3 | orchestration\llm_output_integrity.py, orchestration\structural_compiler.py |
| 99 | `LLMOutputIntegrity._has_unterminated_string` | No description available | 2 | orchestration\llm_output_integrity.py |
| 128 | `LLMOutputIntegrity._has_incomplete_class_or_function` | Checks if the text ends abruptly inside a function/class header. | 2 | orchestration\llm_output_integrity.py |
| 159 | `LLMOutputIntegrity.get_issues` | Get list of all issues found. | 1 | supervision\supervisor.py |

## Module: `orchestration\prompt_adapter.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 37 | `PromptAdapter.__init__` | No description available | 0 | - |
| 40 | `PromptAdapter.increment_failure_count` | Increment the failure counter for a step. | 3 | supervision\supervisor.py |
| 44 | `PromptAdapter.record_success` | Reset failure count on success. | 0 | - |
| 48 | `PromptAdapter.get_failure_count` | Get the number of failures for a step. | 0 | - |
| 52 | `PromptAdapter.adapt` | Applies controlled transformations to improve success rate. | 2 | supervision\supervisor.py |
| 102 | `PromptAdapter.get_context_hint` | Get a context hint based on failure history. | 2 | supervision\supervisor.py |
| 133 | `PromptAdapter.get_adaptation_level` | Get the current adaptation level (0 = normal, 1-3 = escalating strictness). | 0 | - |

## Module: `orchestration\retry_policy.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 31 | `RetryPolicy.retry_environment_failures` | Retry with backoff for environment failures only. | 1 | orchestration\fast_orchestrator.py |
| 80 | `RetryPolicy.should_retry` | Check if a result should be retried. | 0 | - |
| 97 | `RetryPolicy.get_retry_delay` | Get retry delay for attempt number. | 0 | - |

## Module: `orchestration\router_utils.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 16 | `is_router_imported` | Check if a router is already imported in main.py. | 1 | orchestration\router_utils.py |
| 40 | `is_router_registered` | Check if a router is already registered in main.py. | 1 | orchestration\router_utils.py |
| 62 | `get_missing_routers` | Get routers that are missing import or registration. | 0 | - |
| 78 | `get_routers_from_directory` | Discover router names from a routers directory. | 0 | - |

## Module: `orchestration\self_healing_manager.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 73 | `SelfHealingManager.__init__` | Args: | 0 | - |
| 107 | `SelfHealingManager._get_entity` | Get the primary entity from ACTUAL models in models.py. | 0 | - |
| 132 | `SelfHealingManager.repair` | Attempt to repair a broken artifact with tailored strategy. | 4 | orchestration\critical_step_barriers.py, orchestration\healing_pipeline.py |
| 176 | `SelfHealingManager._is_critical_artifact` | PHASE 3: Check if artifact is critical (must use Derek, not fallback). | 1 | orchestration\self_healing_manager.py |
| 202 | `SelfHealingManager._repair_backend_router` | Repair the backend router using LLM or fallback template. | 0 | - |
